 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 96.20 V B206   0.100 KN07EV     Dankó Radió,Eger / Almagyar-tetQ (HEV) 
       V B31B   0.050 JN86WX     Karc FM,Balatonfüred (VES) 
 96.30 H B317   5.000 KN08JC     Radió 1,Miskolc / Avas (BAZ) 
       V B041   0.300 JN96KP     Paks FM,Paks/Öreghegy, Telekom tower (TOL) 
       V              JN86KU     ,Zalaegerszeg / Kovacs Kalman sq. (ZAL) (c)
 96.40 V B317   2.500 JN97ML     Radió 1,Budapest/Gellert-hegy (BUD) 
       V        0.300 JN87TQ     ,GyQr - Belvaros (GYO) (c)
       H B206   0.100 JN87RI     Dankó Radió,Papa / KülsQ GyQri ut (VES) 
       V B4A3   0.100 KN07EE     Szent Istvan Radió,Törökszentmiklós / Water tower, Tancsics Mihaly str. (JNS) 
 96.50 V B396   0.925 JN96UV     Gong Radió,Kecskemet / High-rise, Megyehaza (BAK) 
       V B039   0.100 JN87LG     Sarvar Radió,Sarvar / Park Inn Water tower (VAS) 
 96.60 V B3AA   0.300 JN96HV     Magyar Katolikus Radió,Sarbogard / St. Ladislaus Church (FEJ) 
 96.70 H B201  40.000 KN07SA     MR 2 PetQfi Radió,Komadi / Hereskert (HAB) 
       H B203   6.100 JN96NE     MR 1 Kossuth Radió,Csavoly (BAK) 
       H B203   3.500 JN86VI     MR 1 Kossuth Radió,Kaposvar / Rómahegy (SOM) 
       H        2.700 JN96II     ,Szekszard / Kalvaria-hegy (TOL) (p)
       V B317   0.300 JN97EO     Radió 1,Tatabanya/KQ-hegy III. (KOE) 
 96.80 H B203   9.300 JN87GP     MR 1 Kossuth Radió,Sopron - Dalos-hegy (GMS) 
       H        1.000 JN97OL     ,Budapest/Rakoskeresztur, Újlak str. High-rise (BUD) (c)
       V B3BB   0.200 KN06FE     Radió 7,Makó / ATI-VIZIG tower (CSO) 
 97.00 V noPI   0.631 JN96PO     Kunsag Radió,KiskQrös / Water tower (BAK) 
       V B597   0.001 JN97MM     ElsQ Pesti Egyetemi Radió = EPER97,Budapest/Muzeum körut (BUD) 
 97.10 H B203   5.600 KN08JC     MR 1 Kossuth Radió,Miskolc / Avas (BAZ) 
       H B41B   5.000 JN87HF     Karc FM,Szombathely / Viztorony utca (VAS) 
